districtID,district,ln_gdppc2010,ln_gdppc2018,g
1602,Ogan Komering Ilir,9.7484274,10.06024,0.3118124
1603,Muara Enim,10.57768,11.03199,0.45431042
1604,Lahat,10.04159,10.27174,0.23015022
1605,Musi Rawas,10.14159,10.3824,0.24080944
1606,Musi Banyuasin,10.94028,11.10763,0.16734982
1607,Banyuasin,9.7031879,10.01855,0.31536198
1608,OKU Selatan,9.3474836,9.6276932,0.28020954
1609,OKU Timur,9.2074232,9.5592318,0.35180855
1610,Ogan Ilir,9.3532743,9.7266855,0.37341118
1611,Empat Lawang,9.2452898,9.5126314,0.26734161
1612,Penukal Abab Lematang Ilir,9.8150511,10.07043,0.25537872
1613,Musi Rawas Utara,10.01731,10.24102,0.22371006
1671,Palembang,10.6371,10.99755,0.36044979
1672,Prabumulih,9.8256607,10.21996,0.39429951
1673,Pagar Alam,9.357193,9.6589785,0.30178547
1674,Lubuk Linggau,9.460144,9.791111,0.33096695
1701,Bengkulu Selatan,7.1657038,7.4697719,0.30406809
1702,Rejang Lebong,10.17218,10.51618,0.34399986
1703,Bengkulu Utara,9.4879169,9.8565264,0.36860943
1704,Kaur,8.624608,8.8642883,0.23968029
1705,Seluma,9.7240105,10.03487,0.31085968
1706,Mukomuko,9.3674431,9.7108784,0.34343529
1707,Lebong,9.0613022,9.2752953,0.21399307
1708,Kepahiang,9.7523737,10.05566,0.30328655
1709,Bengkulu Tengah,9.5840826,9.9138794,0.32979679
1771,Kota Bengkulu,11.42521,11.76455,0.33934021
1801,Lampung Barat,9.7848988,9.6656876,-0.1192112
1802,Tanggamus,9.3928947,9.76828,0.37538528
1803,Lampung Selatan,9.9157686,10.26577,0.35000134
1804,Lampung Timur,9.3553209,9.6975651,0.34224415
1805,Lampung Tengah,10.1181,10.48426,0.36615944
1806,Lampung Utara,9.7627783,10.14648,0.38370132
1807,Way Kanan,9.6000376,9.9237823,0.32374477
1808,Tulang bawang,10.10532,10.42525,0.31993008
1809,Pesawaran,9.7864466,10.11371,0.32726383
1810,Pringsewu,9.4689684,9.8286676,0.35969925
1811,Mesuji,10.05369,10.41688,0.3631897
1812,Tulang Bawang Barat,9.8673067,10.22283,0.35552311
1813,PesisirBarat,9.6669712,9.8605299,0.19355869
1871,KotaBandarLampung,10.139,10.48784,0.34883976
1872,KotaMetro,9.764986,10.11567,0.35068417
1901,Bangka,10.06485,10.29405,0.22920036
1902,Belitung,10.18232,10.42795,0.24563026
1903,Bangka Barat,10.5632,10.79317,0.22996998
1904,Bangka Tengah,10.23133,10.31574,0.084409714
1905,Bangka Selatan,10.08722,10.28393,0.19670963
1906,Belitung Timur,10.41772,10.64332,0.22560024
1971,Pangkalpinang,10.40383,10.64825,0.24442005
2101,Karimun,10.15424,10.5715,0.41726017
2102,Bintan,11.03757,11.38427,0.34669971
2103,Natuna,11.99522,12.18257,0.18735027
2104,Lingga,9.9745674,10.34735,0.37278271
2105,Kepulauan Anambas,12.58224,12.56975,-0.012490273
2171,Batam,11.10762,11.25474,0.14711952
2172,Tanjungpinang,10.79027,11.10941,0.31914043
3101,Kepulauan Seribu,11.93315,12.02583,0.092679977
3171,Kota JakartaSelatan,11.62606,12.11825,0.49219036
3172,Kota JakartaTimur,11.11653,11.58806,0.47152996
3173,Kota JakartaPusat,12.59405,13.08996,0.49590969
3174,Kota JakartaBarat,11.21393,11.71218,0.49825001
3175,Kota JakartaUtara,11.67852,12.134,0.45547962
3201,Bogor,9.8681164,10.14146,0.27334404
3202,Sukabumi,9.4031897,9.793951,0.39076138
3203,Cianjur,9.1057816,9.5033588,0.39757729
3204,Bandung,9.6231613,9.9463682,0.3232069
3205,Garut,9.2603407,9.5667439,0.30640316
3206,Tasikmalaya,9.1477251,9.4966965,0.34897137
3207,Ciamis,9.3990622,9.774931,0.3758688
3208,Kuningan,9.1685038,9.5973005,0.42879677
3209,Cirebon,9.2606516,9.6008978,0.3402462
3210,Majalengka,9.3211145,9.7183323,0.39721775
3211,Sumedang,9.4979591,9.8823528,0.38439369
3212,Indramayu,10.27828,10.43046,0.15217972
3213,Subang,9.5232906,9.7619572,0.23866653
3214,Purwakarta,10.39232,10.74736,0.35504055
3215,Karawang,10.74657,11.12939,0.38282013
3216,Bekasi,10.96981,11.10731,0.13750076
3217,Bandung Barat,9.4489307,9.7842417,0.33531094
3218,Pangandaran,9.4816914,9.8210716,0.33938026
3271,Kota Bogor,9.8831396,10.23022,0.34708023
3272,Kota Sukabumi,9.7801905,10.13295,0.35275936
3273,Kota Bandung,10.65375,11.21079,0.55703926
3274,Kota Cirebon,10.44655,10.82,0.37344933
3275,Kota Bekasi,9.7712107,10.0194,0.24818897
3276,Kota Depok,9.6259184,9.8875656,0.26164722
3277,Kota Cimahi,10.12178,10.452,0.33021927
3278,Kota Tasikmalaya,9.5831642,10.01793,0.43476582
3279,Kota Banjar,9.3483772,9.7276735,0.3792963
3301,Kabupaten Cilacap,10.72883,10.95231,0.22347927
3302,Kabupaten Banyumas,9.6009169,10.01154,0.41062355
3303,Kabupaten Purbalingga,9.4543772,9.7863636,0.33198643
3304,Kabupaten Banjarnegara,9.2912989,9.6629486,0.37164974
3305,Kabupaten Kebumen,9.2682095,9.6621675,0.39395809
3306,Kabupaten Purworejo,9.4109411,9.7804317,0.36949062
3307,Kabupaten Wonosobo,9.3851109,9.7167959,0.33168507
3308,Kabupaten Magelang,9.403532,9.7559872,0.35245514
3309,Kabupaten Boyolali,9.5968227,9.991847,0.3950243
3310,Kabupaten Klaten,9.6171284,10.02142,0.40429115
3311,Kabupaten Sukoharjo,9.8938494,10.27088,0.37703037
3312,Kabupaten Wonogiri,9.5683622,9.939146,0.37078381
3313,Kabupaten Karanganyar,9.9094667,10.26151,0.35204315
3314,Kabupaten Sragen,9.8209028,10.2597,0.438797
3315,Kabupaten Grobogan,9.183671,9.5196819,0.33601093
3316,Kabupaten Blora,9.4099894,9.9245787,0.51458931
