hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.9309306,2.9429133,2.9549448,2.9832103,2.9994831,3.0056083,3.0076528,3.0096989,3.0405548,3372
2.7141531,2.7345312,2.7569363,2.7776353,2.8099313,2.8952749,2.8972442,2.9629931,3.0137947,3373
2.8561654,2.8933067,2.9170127,2.9449153,2.9710636,2.9730844,3.0322957,3.0343585,3.0364225,3374
2.4586194,2.4885993,2.5087886,2.54966,2.5809562,2.6091905,2.6109653,2.6593454,2.6611543,3375
2.4240992,2.4735639,2.5214901,2.5687003,2.6056445,2.6074169,2.6091905,2.6109653,2.6127415,3376
2.5214901,2.5291417,2.5419462,2.5634654,2.5950348,2.6305685,2.6485174,2.6738517,2.6756704,3401
2.6198578,2.62164,2.6377335,2.688437,2.6920958,2.7550621,2.7569363,2.7776353,2.8061123,3402
2.0068974,2.0375335,2.1087177,2.1387467,2.1890113,2.1912234,2.2269211,2.3117156,2.3140519,3403
2.8913398,2.9389136,2.9389136,2.9389136,2.9893022,2.9933705,3.0633836,3.0654671,3.0675523,3404
3.1137881,3.1414361,3.1866176,3.217099,3.2236686,3.2280557,3.2302516,3.2324488,3.2346475,3471
2.0917478,2.1129816,2.1365876,2.1604576,2.1845939,2.2861748,2.2884848,2.3187308,2.3588872,3501
2.117254,2.1890113,2.2157037,2.2815614,2.2931123,2.3047218,2.3070507,2.3163903,2.3541272,3502
2.1604576,2.1692035,2.2112324,2.2540758,2.2838669,2.3565059,2.3588872,2.3612709,2.3780243,3503
2.3948965,2.402164,2.4118884,2.4192076,2.4216521,2.4885993,2.4911139,2.5138614,2.5704474,3504
2.1845939,2.2045424,2.2201838,2.2381957,2.2723625,2.3708296,2.3732255,2.3756237,2.3780243,3505
2.321074,2.3281174,2.3328249,2.3708296,2.4118884,2.4118884,2.4536581,2.471067,2.4785655,3506
2.1648262,2.1670136,2.202317,2.2201838,2.2359362,2.2518003,2.3093822,2.3541272,2.3565059,3507
1.9807192,2.0272698,2.0457819,2.0665488,2.0980954,2.1002157,2.1023378,2.1344306,2.1365876,3508
1.9867299,1.9947726,2.0048716,2.0129876,2.0150218,2.0416534,2.1023378,2.1044624,2.1065888,3509
2.1735897,2.2067702,2.2404573,2.2769573,2.2838669,2.2861748,2.297749,2.3399043,2.3422687,3510
1.8850795,1.8850795,1.9509374,1.9847243,1.9927588,1.9947726,1.9967883,1.998806,2.0129876,3511
1.8736905,1.8984542,1.9216034,1.9450351,1.9967883,2.0231791,2.0252233,2.0980954,2.1151168,3512
1.9119239,1.9157898,1.9216034,2.0109556,2.0170579,2.0211365,2.0231791,2.0252233,2.0313692,3513
2.056139,2.0602968,2.0833142,2.1087177,2.1692035,2.2000937,2.2179425,2.2723625,2.2746587,3514
2.7814157,2.8348811,2.8736987,2.9389136,2.9509289,2.9529362,2.9771309,2.9791558,2.9811823,3515
